servo,index,center,lo,hi,range
left_lower_leg__foot,5,0.7067155067155068,0.9516483516483516,0.676923076923077,-0.27472527472527464
left_hip__upper_leg,8,0.5079365079365079,0.6571428571428571,0.27594627594627597,-0.3811965811965812
left_upper_leg__lower_leg,9,0.09938949938949938,0.25225885225885225,-0.12503052503052503,-0.3772893772893773
left_yoke__hip,7,0.98998778998779,1.0588522588522589,0.883028083028083,-0.17582417582417587
head__left_yoke,6,0.06275946275946276,0.17753357753357754,-0.011233211233211221,-0.18876678876678876
head__right_yoke,3,0.3518925518925519,0.22173382173382172,0.463003663003663,0.2412698412698413
right_yoke__hip,4,0.8146520146520146,0.7413919413919414,0.8576312576312576,0.11623931623931616
right_hip__upper_leg,2,0.7943833943833943,0.6376068376068376,1.024175824175824,0.38656898656898653
right_upper_leg__lower_leg,1,0.8324786324786325,0.6952380952380952,1.0608058608058608,0.3655677655677656
right_lower_leg__foot,0,0.9328449328449329,0.78998778998779,1.2056166056166058,0.4156288156288158
